Date,ha_open,ha_high,ha_low,ha_close,volume
2008-07-25 09:15:00,52.89255895,53.759996,50.68,52.079999,2364245.0
2008-07-28 09:15:00,52.486279,53.359996,51.4,52.279999,2065912.5
2008-07-29 09:15:00,52.383139,52.383139,47.0,50.115,3213000.0
2008-07-30 09:15:00,51.2490695,52.959996,49.6,51.139999,2155755.0
2008-07-31 09:15:00,51.19453425,54.62,51.19453425,53.374999,6077715.0
2008-08-01 09:15:00,52.2847666,54.4,51.62,53.13,1966717.5
2008-08-04 09:15:00,52.7073833,56.259996,52.7073833,53.94,2744697.5
2008-08-05 09:15:00,53.32369165,57.0,53.18,54.885,3813665.0
2008-08-06 09:15:00,54.1043458,58.2,54.1043458,56.694999,3655130.0
2008-08-07 09:15:00,55.3996724,58.92,55.3,57.0,4358625.0
2008-08-08 09:15:00,56.1998362,59.2,56.1998362,57.694999,1585287.5
2008-08-11 09:15:00,56.9474176,59.140004,56.9474176,58.265002,2366635.0
2008-08-12 09:15:00,57.6062098,59.959996,56.42,58.28,3313020.0
2008-08-13 09:15:00,57.9431049,58.740004,54.72,56.750002,2235640.0
2008-08-14 09:15:00,57.34655345,57.34655345,51.9,53.845,3050442.5
2008-08-18 09:15:00,55.5957767,55.5957767,51.2,52.185,1513187.5
2008-08-19 09:15:00,53.89038835,53.89038835,51.22,52.409998,1898540.0
2008-08-20 09:15:00,53.1501932,54.8,53.1501932,54.120001,1084872.5
2008-08-21 09:15:00,53.6350971,54.0,52.22,53.010001,553657.5
2008-08-22 09:15:00,53.32254905,53.32254905,50.26,51.904999,2443022.5
2008-08-25 09:15:00,52.613774,53.78,52.48,53.179999,762300.0
2008-08-26 09:15:00,52.8968865,53.0,52.0,52.470002,468985.0
2008-08-27 09:15:00,52.68344425,53.4,52.040004,52.63,519107.5
2008-08-28 09:15:00,52.6567221,54.0,52.259996,53.434998,1700880.0
2008-08-29 09:15:00,53.04586005,55.2,53.04586005,54.055,1283330.0
2008-09-01 09:15:00,53.55043,54.4,51.859996,53.334999,768467.5
2008-09-02 09:15:00,53.4427145,56.4,53.12,54.670001,3347595.0
2008-09-04 09:15:00,54.05635775,56.4,54.05635775,55.559999,1158145.0
2008-09-05 09:15:00,54.8081784,55.88,54.08,54.670001,909435.0
2008-09-08 09:15:00,54.7390897,57.98,54.0,55.984999,2602995.0
2008-09-09 09:15:00,55.36204435,56.4,54.659996,55.509999,1037415.0
2008-09-10 09:15:00,55.4360217,56.2,53.72,54.675002,1221770.0
2008-09-11 09:15:00,55.05551185,55.05551185,52.0,53.384999,1037705.0
2008-09-15 09:15:00,54.2202554,54.2202554,47.66,50.075,1129490.0
2008-09-16 09:15:00,52.1476277,52.1476277,44.8,47.84,1321970.0
2008-09-17 09:15:00,49.99381385,50.22,48.1,49.32,1304267.5
2008-09-18 09:15:00,49.65690692,50.2,44.84,47.765,2221147.5
2008-09-19 09:15:00,48.71095346,52.2,48.71095346,51.14,1050637.5
2008-09-22 09:15:00,49.92547673,52.959996,49.92547673,51.959998,933077.5
2008-09-23 09:15:00,50.94273735,51.6,49.64,50.57,481065.0
2008-09-24 09:15:00,50.7563687,51.4,49.4,50.515,1080097.5
2008-09-25 09:15:00,50.63568435,51.940004,48.84,50.455002,1835900.0
2008-09-26 09:15:00,50.5453432,50.5453432,48.42,49.31,1332772.5
2008-09-29 09:15:00,49.9276716,51.16,46.8,49.33,2115757.5
2008-09-30 09:15:00,49.6288358,51.92,46.44,49.14,1011332.5
2008-10-01 09:15:00,49.3844179,51.48,49.3844179,50.47,998305.0
2008-10-03 09:15:00,49.92720895,51.28,48.84,50.100001,1110072.5
2008-10-06 09:15:00,50.013605,50.013605,46.04,47.835,439937.5
