Date,symbol,open,high,low,close,volume
2018-08-20 09:15:00,NSE:JSWENERGY,67.5,68.800003,67.199997,67.699997,757303.0
2018-08-21 09:15:00,NSE:JSWENERGY,68.199997,68.400002,66.5,67.75,701504.0
2018-08-23 09:15:00,NSE:JSWENERGY,68.0,68.150002,66.449997,67.349998,629130.0
2018-08-24 09:15:00,NSE:JSWENERGY,67.300003,68.900002,66.900002,68.0,679415.0
2018-08-27 09:15:00,NSE:JSWENERGY,68.0,69.099998,67.599998,68.300003,949733.0
2018-08-28 09:15:00,NSE:JSWENERGY,68.75,69.25,67.25,68.650002,2594208.0
2018-08-29 09:15:00,NSE:JSWENERGY,69.0,70.5,68.099998,68.449997,3277466.0
2018-08-30 09:15:00,NSE:JSWENERGY,68.800003,71.150002,68.550003,70.400002,3028281.0
2018-08-31 09:15:00,NSE:JSWENERGY,70.900002,73.349998,70.550003,72.900002,2944814.0
2018-09-03 09:15:00,NSE:JSWENERGY,72.900002,74.5,71.25,71.5,1481902.0
2018-09-04 09:15:00,NSE:JSWENERGY,71.5,72.0,68.849998,69.400002,788297.0
2018-09-05 09:15:00,NSE:JSWENERGY,68.099998,69.5,66.5,68.099998,1366128.0
2018-09-06 09:15:00,NSE:JSWENERGY,68.099998,69.849998,67.150002,69.449997,685859.0
2018-09-07 09:15:00,NSE:JSWENERGY,69.849998,71.0,68.5,70.300003,611782.0
2018-09-10 09:15:00,NSE:JSWENERGY,69.800003,70.5,67.650002,68.150002,761568.0
2018-09-11 09:15:00,NSE:JSWENERGY,68.050003,69.0,65.699997,66.199997,769251.0
2018-09-12 09:15:00,NSE:JSWENERGY,66.449997,67.199997,64.699997,66.400002,723136.0
2018-09-14 09:15:00,NSE:JSWENERGY,67.400002,69.699997,67.050003,69.150002,3851659.0
2018-09-17 09:15:00,NSE:JSWENERGY,68.900002,69.800003,68.199997,69.599998,1025192.0
2018-09-18 09:15:00,NSE:JSWENERGY,69.599998,70.75,68.650002,69.449997,729541.0
2018-09-19 09:15:00,NSE:JSWENERGY,69.449997,70.150002,66.699997,67.599998,580019.0
2018-09-21 09:15:00,NSE:JSWENERGY,67.800003,68.300003,62.0,63.650002,2311018.0
2018-09-24 09:15:00,NSE:JSWENERGY,64.150002,65.449997,62.549999,64.449997,1013765.0
2018-09-25 09:15:00,NSE:JSWENERGY,64.150002,66.199997,63.299999,64.75,975908.0
2018-09-26 09:15:00,NSE:JSWENERGY,65.199997,65.900002,62.5,62.900002,2865975.0
2018-09-27 09:15:00,NSE:JSWENERGY,62.599998,63.650002,62.049999,62.950001,1309897.0
2018-09-28 09:15:00,NSE:JSWENERGY,63.0,63.549999,59.75,61.25,1894044.0
2018-10-01 09:15:00,NSE:JSWENERGY,61.25,62.599998,59.099998,60.549999,1277076.0
2018-10-03 09:15:00,NSE:JSWENERGY,60.299999,63.700001,60.049999,63.200001,1042021.0
2018-10-04 09:15:00,NSE:JSWENERGY,61.700001,63.400002,61.5,63.099998,697956.0
2018-10-05 09:15:00,NSE:JSWENERGY,63.0,63.5,59.299999,60.049999,787128.0
2018-10-08 09:15:00,NSE:JSWENERGY,60.0,61.349998,56.099998,58.650002,1576423.0
2018-10-09 09:15:00,NSE:JSWENERGY,59.0,59.75,56.299999,58.849998,1420608.0
2018-10-10 09:15:00,NSE:JSWENERGY,59.25,61.5,58.700001,61.25,560630.0
2018-10-11 09:15:00,NSE:JSWENERGY,58.799999,60.200001,58.099998,59.25,612378.0
2018-10-12 09:15:00,NSE:JSWENERGY,59.950001,64.699997,59.950001,63.400002,1282696.0
2018-10-15 09:15:00,NSE:JSWENERGY,64.0,64.699997,62.150002,64.199997,550366.0
2018-10-16 09:15:00,NSE:JSWENERGY,64.099998,66.0,63.849998,65.0,3202499.0
2018-10-17 09:15:00,NSE:JSWENERGY,66.0,66.150002,62.5,64.349998,805314.0
2018-10-19 09:15:00,NSE:JSWENERGY,63.849998,65.849998,63.0,65.050003,882632.0
2018-10-22 09:15:00,NSE:JSWENERGY,65.800003,65.800003,63.700001,64.650002,613693.0
2018-10-23 09:15:00,NSE:JSWENERGY,64.400002,65.199997,61.849998,63.549999,708910.0
2018-10-24 09:15:00,NSE:JSWENERGY,64.550003,64.75,63.299999,64.0,633060.0
2018-10-25 09:15:00,NSE:JSWENERGY,63.0,63.799999,62.299999,63.049999,289668.0
2018-10-26 09:15:00,NSE:JSWENERGY,63.349998,64.699997,62.200001,64.0,337698.0
2018-10-29 09:15:00,NSE:JSWENERGY,64.050003,67.650002,63.400002,65.800003,1333349.0
2018-10-30 09:15:00,NSE:JSWENERGY,65.800003,67.349998,64.300003,66.099998,423965.0
2018-10-31 09:15:00,NSE:JSWENERGY,65.5,67.25,64.099998,64.949997,683340.0
2018-11-01 09:15:00,NSE:JSWENERGY,64.5,66.099998,64.349998,65.25,748614.0
2018-11-02 09:15:00,NSE:JSWENERGY,65.900002,66.949997,65.099998,65.599998,706281.0
2018-11-05 09:15:00,NSE:JSWENERGY,66.050003,68.800003,64.150002,67.949997,1433425.0
2018-11-06 09:15:00,NSE:JSWENERGY,68.0,68.699997,66.099998,68.099998,770435.0
2018-11-07 09:15:00,NSE:JSWENERGY,68.199997,68.900002,68.050003,68.5,206651.0
2018-11-09 09:15:00,NSE:JSWENERGY,69.0,73.800003,68.0,72.550003,1638682.0
2018-11-12 09:15:00,NSE:JSWENERGY,72.599998,74.5,69.599998,70.400002,1401385.0
2018-11-13 09:15:00,NSE:JSWENERGY,70.0,72.199997,68.75,71.849998,1259893.0
2018-11-14 09:15:00,NSE:JSWENERGY,72.199997,73.099998,70.650002,71.050003,1092071.0
2018-11-15 09:15:00,NSE:JSWENERGY,71.099998,72.0,69.599998,70.25,1126211.0
2018-11-16 09:15:00,NSE:JSWENERGY,70.349998,71.25,70.0,70.900002,865175.0
2018-11-19 09:15:00,NSE:JSWENERGY,71.25,72.0,69.800003,71.599998,1033375.0
2018-11-20 09:15:00,NSE:JSWENERGY,71.25,71.25,68.599998,69.599998,593899.0
2018-11-21 09:15:00,NSE:JSWENERGY,69.599998,70.199997,66.800003,68.5,1310011.0
2018-11-22 09:15:00,NSE:JSWENERGY,68.5,69.0,67.099998,67.550003,816906.0
2018-11-26 09:15:00,NSE:JSWENERGY,67.900002,68.550003,66.25,67.150002,397825.0
2018-11-27 09:15:00,NSE:JSWENERGY,67.050003,67.449997,66.25,67.0,661903.0
2018-11-28 09:15:00,NSE:JSWENERGY,67.5,67.900002,66.550003,67.5,519547.0
2018-11-29 09:15:00,NSE:JSWENERGY,67.699997,68.5,67.300003,68.0,871709.0
2018-11-30 09:15:00,NSE:JSWENERGY,68.099998,68.599998,67.75,68.349998,924147.0
2018-12-03 09:15:00,NSE:JSWENERGY,68.699997,70.400002,67.800003,69.5,816558.0
2018-12-04 09:15:00,NSE:JSWENERGY,70.0,70.0,68.349998,69.0,359022.0
2018-12-05 09:15:00,NSE:JSWENERGY,68.650002,69.949997,67.849998,69.150002,584533.0
2018-12-06 09:15:00,NSE:JSWENERGY,68.099998,69.050003,66.599998,67.449997,1533082.0
2018-12-07 09:15:00,NSE:JSWENERGY,70.5,70.5,67.550003,69.0,583016.0
2018-12-10 09:15:00,NSE:JSWENERGY,67.949997,67.949997,65.300003,65.75,421193.0
2018-12-11 09:15:00,NSE:JSWENERGY,65.300003,66.800003,62.799999,66.300003,447367.0
2018-12-12 09:15:00,NSE:JSWENERGY,66.300003,69.5,66.300003,68.550003,759858.0
2018-12-13 09:15:00,NSE:JSWENERGY,69.150002,71.5,69.150002,70.699997,801953.0
2018-12-14 09:15:00,NSE:JSWENERGY,70.400002,71.300003,70.0,71.0,730469.0
2018-12-17 09:15:00,NSE:JSWENERGY,71.5,71.75,70.199997,71.050003,359323.0
2018-12-18 09:15:00,NSE:JSWENERGY,71.050003,73.349998,69.849998,72.0,1497766.0
2018-12-19 09:15:00,NSE:JSWENERGY,71.900002,72.25,70.650002,71.699997,831348.0
2018-12-20 09:15:00,NSE:JSWENERGY,70.900002,71.599998,70.599998,71.050003,652176.0
2018-12-21 09:15:00,NSE:JSWENERGY,71.099998,71.5,70.0,70.900002,771551.0
2018-12-24 09:15:00,NSE:JSWENERGY,71.25,71.400002,66.849998,67.449997,936872.0
2018-12-26 09:15:00,NSE:JSWENERGY,67.099998,68.349998,66.599998,67.599998,491364.0
2018-12-27 09:15:00,NSE:JSWENERGY,68.300003,68.800003,66.150002,66.599998,1271332.0
2018-12-28 09:15:00,NSE:JSWENERGY,67.449997,69.800003,67.449997,69.349998,629375.0
2018-12-31 09:15:00,NSE:JSWENERGY,69.75,70.300003,68.400002,68.650002,512406.0
2019-01-01 09:15:00,NSE:JSWENERGY,69.099998,70.0,68.550003,69.75,697008.0
2019-01-02 09:15:00,NSE:JSWENERGY,70.0,70.75,69.550003,70.449997,652239.0
2019-01-03 09:15:00,NSE:JSWENERGY,70.5,70.75,69.400002,69.75,366275.0
2019-01-04 09:15:00,NSE:JSWENERGY,69.400002,69.75,67.949997,68.699997,1382053.0
2019-01-07 09:15:00,NSE:JSWENERGY,69.25,70.5,69.25,70.099998,480932.0
2019-01-08 09:15:00,NSE:JSWENERGY,70.300003,70.5,69.5,70.300003,191845.0
2019-01-09 09:15:00,NSE:JSWENERGY,70.400002,70.5,68.849998,69.849998,439253.0
2019-01-10 09:15:00,NSE:JSWENERGY,70.0,70.150002,69.5,69.900002,261997.0
2019-01-11 09:15:00,NSE:JSWENERGY,70.0,70.449997,69.150002,70.050003,360050.0
2019-01-14 09:15:00,NSE:JSWENERGY,70.050003,70.050003,67.900002,68.900002,592715.0
2019-01-15 09:15:00,NSE:JSWENERGY,68.900002,70.25,68.550003,68.900002,429318.0
2019-01-16 09:15:00,NSE:JSWENERGY,68.800003,70.25,68.75,69.800003,506274.0
2019-01-17 09:15:00,NSE:JSWENERGY,69.800003,70.0,68.349998,68.800003,424716.0
2019-01-18 09:15:00,NSE:JSWENERGY,69.0,69.349998,66.349998,68.0,747820.0
2019-01-21 09:15:00,NSE:JSWENERGY,67.800003,68.449997,67.400002,67.949997,261903.0
2019-01-22 09:15:00,NSE:JSWENERGY,68.0,69.0,67.300003,68.800003,253866.0
2019-01-23 09:15:00,NSE:JSWENERGY,68.800003,70.0,68.0,68.550003,886258.0
2019-01-24 09:15:00,NSE:JSWENERGY,68.550003,69.25,67.150002,67.800003,285940.0
2019-01-25 09:15:00,NSE:JSWENERGY,68.150002,68.300003,66.300003,66.800003,403212.0
2019-01-28 09:15:00,NSE:JSWENERGY,67.400002,67.400002,64.449997,64.949997,388519.0
2019-01-29 09:15:00,NSE:JSWENERGY,64.599998,66.0,63.5,64.199997,549150.0
2019-01-30 09:15:00,NSE:JSWENERGY,64.599998,70.349998,64.300003,67.849998,2802144.0
2019-01-31 09:15:00,NSE:JSWENERGY,68.5,68.800003,65.800003,66.849998,1457522.0
2019-02-01 09:15:00,NSE:JSWENERGY,66.900002,68.949997,66.900002,67.949997,756513.0
2019-02-04 09:15:00,NSE:JSWENERGY,68.5,68.5,66.699997,67.849998,449996.0
2019-02-05 09:15:00,NSE:JSWENERGY,67.849998,68.150002,66.0,66.849998,530296.0
2019-02-06 09:15:00,NSE:JSWENERGY,67.199997,67.650002,66.400002,67.050003,474495.0
2019-02-07 09:15:00,NSE:JSWENERGY,66.550003,68.0,66.550003,67.25,892557.0
2019-02-08 09:15:00,NSE:JSWENERGY,67.0,68.0,66.099998,66.449997,377157.0
2019-02-11 09:15:00,NSE:JSWENERGY,66.25,67.599998,66.150002,66.849998,526467.0
2019-02-12 09:15:00,NSE:JSWENERGY,66.300003,67.5,66.25,66.650002,311470.0
2019-02-13 09:15:00,NSE:JSWENERGY,66.5,67.400002,63.700001,66.150002,503236.0
2019-02-14 09:15:00,NSE:JSWENERGY,66.0,66.0,64.699997,65.5,265207.0
2019-02-15 09:15:00,NSE:JSWENERGY,65.099998,65.949997,64.0,65.099998,339145.0
2019-02-18 09:15:00,NSE:JSWENERGY,65.150002,65.800003,64.25,64.599998,172672.0
2019-02-19 09:15:00,NSE:JSWENERGY,64.300003,67.0,64.300003,66.300003,592788.0
2019-02-20 09:15:00,NSE:JSWENERGY,66.949997,66.949997,65.099998,65.400002,422772.0
2019-02-21 09:15:00,NSE:JSWENERGY,65.25,66.349998,65.25,65.599998,356391.0
2019-02-22 09:15:00,NSE:JSWENERGY,65.150002,66.400002,65.150002,66.0,377525.0
2019-02-25 09:15:00,NSE:JSWENERGY,66.300003,66.349998,65.300003,65.949997,211963.0
2019-02-26 09:15:00,NSE:JSWENERGY,65.0,65.699997,64.0,64.900002,444250.0
2019-02-27 09:15:00,NSE:JSWENERGY,65.5,66.25,64.199997,64.599998,411249.0
2019-02-28 09:15:00,NSE:JSWENERGY,65.300003,65.449997,64.300003,64.449997,289888.0
2019-03-01 09:15:00,NSE:JSWENERGY,64.75,66.349998,64.75,65.5,620534.0
2019-03-05 09:15:00,NSE:JSWENERGY,66.300003,69.0,65.900002,67.949997,2064435.0
